easting,northing,cluster_density_level
696916.2784021022,854075.6581653605,1
687851.4482259128,867491.8850098281,1
781366.629485253,837238.718705357,1
729426.3827070772,856461.0932781053,1
697943.5570611567,802694.02356775,1
744121.4947549435,858346.9086607085,1
741066.5790230338,822796.6092575514,1
712941.3073560954,867467.4737529007,0
693714.7141899839,854875.2686871097,1
755343.8297828828,851297.3548957265,1
769172.8978528283,829175.9195142214,1
699518.331649904,828034.5297432669,1
698611.6801401072,867580.529226549,1
698877.4602754192,808879.5469999076,1
785378.9860257051,810842.2483523495,1
772392.7374918474,814025.6921969665,1
748085.7465504166,839025.2311109368,1
684239.6869533256,788734.1997512897,1
772808.8712777455,818911.6413995962,1
698068.25988781,813874.1454269383,2
720687.0896598304,845585.3061953811,1
726740.7601257013,733503.3600608387,1
735930.5980702296,861545.5324891345,1
747095.5092953432,859953.0880505093,1
756862.4572387874,816683.7037933257,1
743248.1765506981,822988.0198100916,1
746830.4398053295,827338.2604802748,1
760577.2145641359,832732.4353557256,1
691343.9984551596,854653.4117584499,2
762589.5524989183,845665.8547789911,1
735308.8241169956,846918.5938761155,1
783936.8790956713,824219.3138150851,1
747864.1493653775,823079.4943787137,1
761620.7415208954,851691.8669957517,1
684332.2786189455,791431.2618840496,1
746563.0550125352,861852.7536627011,1
764717.1851766029,830185.3219045375,1
687499.3566491419,792207.6886171997,1
697562.5713181861,813778.9171791059,2
703498.9926101068,861662.5276738924,1
726397.5038329286,783263.9924664537,1
703861.2907469388,854864.519423764,1
795050.312885932,797249.0513835994,0
773029.3212711656,824413.6385825665,1
763462.5760664879,843425.9463860916,1
728934.2490221396,729510.9741733272,1
717763.2355942059,835421.5361340111,0
744250.8986990434,864953.6813127784,1
674627.2165764195,788134.8475580085,1
695118.9521812511,813996.0411606105,1
691922.1378428327,784578.6039427568,1
718895.8823844284,725847.603102173,0
712002.0515272716,813212.6486882195,1
777676.7468795204,834591.902269055,1
698650.7647788585,862757.6488363501,1
776027.5410709452,827148.1305230916,1
679053.9086258612,876991.349688563,0
778209.0874757213,833253.7563385197,1
682331.2511857233,842978.895098588,1
