"source","source_incident_id","occurred_at","fetched_at","lat","lon","nature","disposition","address","city","geocoded_at","geocode_quality","status","raw","geocode_attempts","geocode_locked_by","geocode_locked_at","last_changed"
"lee_county","26-357428","2026-07-03 18:35:11+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","11-CONDITION CORRECTED","GAYLORD AVE S / JAGUAR BLVD","LEHIGH ACRES",,,,"{""id"": ""26-357428"", ""city"": ""LEHIGH ACRES"", ""nature"": ""ANIMAL"", ""address"": ""GAYLORD AVE S / JAGUAR BLVD"", ""disposition"": ""11-CONDITION CORRECTED"", ""occuredDate"": ""2026-07-03 14:35:11.0000000"", ""incidentNumber"": ""26-357428""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357402","2026-07-03 18:20:05+00","2026-07-06 16:53:21.588848+00",,,"DEATH INVESTIGATION","08-REPORT TAKEN","6550 ESTERO BLVD","FORT MYERS BEACH",,,,"{""id"": ""26-357402"", ""city"": ""FORT MYERS BEACH"", ""nature"": ""DEATH INVESTIGATION"", ""address"": ""6550 ESTERO BLVD"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 14:20:05.0000000"", ""incidentNumber"": ""26-357402""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357368","2026-07-03 18:03:00+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC DISTURBANCE","01-ARREST","923 HOOPER AVE","LEHIGH ACRES",,,,"{""id"": ""26-357368"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DOMESTIC DISTURBANCE"", ""address"": ""923 HOOPER AVE"", ""disposition"": ""01-ARREST"", ""occuredDate"": ""2026-07-03 14:03:00.0000000"", ""incidentNumber"": ""26-357368""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357327","2026-07-03 17:39:40+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","07-TURNED OVER TO OTHER AGENCY","2514 19TH ST W","LEHIGH ACRES",,,,"{""id"": ""26-357327"", ""city"": ""LEHIGH ACRES"", ""nature"": ""ANIMAL"", ""address"": ""2514 19TH ST W"", ""disposition"": ""07-TURNED OVER TO OTHER AGENCY"", ""occuredDate"": ""2026-07-03 13:39:40.0000000"", ""incidentNumber"": ""26-357327""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357321","2026-07-03 17:38:12+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","9410 IVY RUN, UNIT 210, FLOOR 1, MYERS, FLORIDA BRK FT","FORT MYERS",,,,"{""id"": ""26-357321"", ""city"": ""FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""9410 IVY RUN, UNIT 210, FLOOR 1, MYERS, FLORIDA BRK FT"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 13:38:12.0000000"", ""incidentNumber"": ""26-357321""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357319","2026-07-03 17:37:41+00","2026-07-06 16:53:21.588848+00",,,"THEFT MISD","08-REPORT TAKEN","15880 SAN CARLOS BLVD","FORT MYERS",,,,"{""id"": ""26-357319"", ""city"": ""FORT MYERS"", ""nature"": ""THEFT MISD"", ""address"": ""15880 SAN CARLOS BLVD"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 13:37:41.0000000"", ""incidentNumber"": ""26-357319""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357318","2026-07-03 17:36:37+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","6521 NALLE GRADE RD","NORTH FORT MYERS",,,,"{""id"": ""26-357318"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""6521 NALLE GRADE RD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 13:36:37.0000000"", ""incidentNumber"": ""26-357318""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357285","2026-07-03 17:20:23+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","07-TURNED OVER TO OTHER AGENCY","7 ESPER CT","FORT MYERS",,,,"{""id"": ""26-357285"", ""city"": ""FORT MYERS"", ""nature"": ""ANIMAL"", ""address"": ""7 ESPER CT"", ""disposition"": ""07-TURNED OVER TO OTHER AGENCY"", ""occuredDate"": ""2026-07-03 13:20:23.0000000"", ""incidentNumber"": ""26-357285""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357254","2026-07-03 17:05:39+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC VIOLENCE","08-REPORT TAKEN","15121 WOODRICH BND","FORT MYERS",,,,"{""id"": ""26-357254"", ""city"": ""FORT MYERS"", ""nature"": ""DOMESTIC VIOLENCE"", ""address"": ""15121 WOODRICH BND"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 13:05:39.0000000"", ""incidentNumber"": ""26-357254""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357251","2026-07-03 17:04:01+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","194 LEE BLVD","LEHIGH ACRES",,,,"{""id"": ""26-357251"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""194 LEE BLVD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 13:04:01.0000000"", ""incidentNumber"": ""26-357251""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357225","2026-07-03 16:48:07+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","347 PARISH AVE","LEHIGH ACRES",,,,"{""id"": ""26-357225"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""347 PARISH AVE"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 12:48:07.0000000"", ""incidentNumber"": ""26-357225""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
