Density scenario: 3levels (street + neighborhood + district)
Levels (loosest -> tightest): ['district', 'neighborhood', 'street']
n_total=250 n_noise=10 counts_by_level={0: 141, 1: 70, -1: 10, 2: 29}
------------------------------------------------------------
lat,lng,density_level
26.597595869361,-81.733512382386,0
26.676825714947,-81.881506281176,1
26.330707834714,-81.809107296204,0
26.529209977603,-81.871424722971,0
26.746046962985,-81.814020981071,0
26.584816652405,-81.611870889551,1
26.6706383,-81.8828565,1
26.496211490011,-81.950051734951,0
26.711256219207,-81.900779623463,0
26.637568433759,-82.038312006677,-1
26.707676982234,-81.704076182461,0
26.553240860491,-81.91851120164,0
26.584681631541,-81.567418215052,0
26.672081119202,-81.660805512691,0
26.592643894852,-81.723645861556,0
26.601283798877,-81.650712503503,2
26.599275086881,-81.721689071172,0
26.548756451769,-81.864745021744,0
26.352278234435,-81.784959060382,1
26.465403485275,-81.798984228607,0
26.681931828141,-81.897813924126,1
26.616235135123,-81.681062863469,1
26.503577519862,-81.857314148258,0
26.610825603495,-81.707282325164,0
26.703974991904,-81.581668617581,-1
26.601616138807,-81.738161912736,0
26.7514593,-81.7491448,-1
26.585194666722,-81.634530287677,1
26.615628423346,-81.665455184264,1
26.689756558539,-81.775630284739,0
26.570566583437,-81.872134675177,2
26.57721813528,-81.655381161539,0
26.580167955082,-81.691896235812,0
26.482775072222,-81.830479665984,2
26.599625520674,-81.676014705556,0
26.57125254885,-81.616528938814,0
26.495047081575,-81.784535882738,0
26.543218596601,-81.851566671435,0
26.689698972454,-81.731114065019,0
26.526400939076,-81.575249118651,-1
26.720247396018,-81.902936049277,0
26.669047147243,-81.822442613283,1
26.608215636147,-81.651556997264,2
26.486464550451,-81.807799342102,0
26.5218795,-82.1897251,-1
26.667331423397,-81.908431076014,0
26.659861361541,-81.674146832066,1
26.572599759623,-81.874239231039,2
26.746397105891,-81.929871477827,0
26.58133631167,-81.630004811963,1
26.572744782841,-81.644400275107,0
26.682639691539,-81.645169139626,0
26.66724917351,-81.884816667588,1
26.636534371248,-81.616731660316,0
26.572714037819,-81.87180149023,2
26.483877869577,-81.82718071681,2
26.600999109408,-81.647121339678,2
26.513131651167,-81.904187480082,0
26.330465537602,-81.808478788843,0
26.673000220517,-81.753807766193,1
26.331730962652,-81.73006188802,0
26.704169443589,-81.855019841811,0
26.6833164,-81.875206,1
26.728685408122,-82.032983858361,-1
26.685524485124,-81.885008680019,1
26.492133009218,-81.890682457658,0
26.673162030427,-81.812725436093,0
26.571402445008,-81.668247473615,0
26.608817536279,-81.633164425396,0
26.453658881722,-81.827048645435,0
26.70315222819,-81.872176308847,2
26.685466353654,-81.853933939656,0
26.620083968909,-81.597778134475,0
26.607251187417,-81.650473427918,2
26.656047222018,-81.966001858732,-1
26.560915971693,-81.878459341346,1
26.567143447543,-81.879299516378,1
26.6754031683,-81.696291233043,0
26.618737236495,-81.709699546207,0
26.676092215655,-81.88907036694,1
26.68805457271,-81.865462001361,0
26.48907489568,-81.784784711148,0
26.657336499335,-81.720298255335,0
26.559832802854,-81.835807430551,0
26.629282795306,-81.6280507892,0
26.627425429843,-81.75926493393,0
26.699267468651,-81.721492085673,1
26.720106844039,-81.826072995065,0
26.677657298989,-81.867816117609,1
26.600695692068,-81.608985433848,0
26.563986163686,-81.579569848716,0
26.55527389388,-81.882016441776,1
26.608019683854,-81.64695435598,2
26.662530486049,-81.917861307468,0
26.559824493576,-81.842837198439,0
26.519597226966,-81.963867467416,0
26.552493553391,-81.616071402925,0
26.695519415574,-81.871798700376,1
26.685718418479,-81.892519108951,2
26.684765112447,-81.874245466096,1
26.6545647305,-81.668579271311,1
26.586405535406,-81.871735451052,0
26.609542892742,-81.722521009037,0
26.600468308892,-81.698685999968,0
26.516723706425,-81.936460509966,0
26.586836675184,-81.701507442906,0
26.67581038124,-81.822584420315,1
26.70449676566,-81.723110319077,1
26.480287127801,-81.833197326281,2
26.663474731628,-81.757669726221,1
26.523063085461,-81.870177895558,0
26.660837970904,-81.665917504084,1
26.713041259376,-81.73017250678,1
26.599645139793,-81.650707211611,2
26.659876021082,-81.802447576528,0
26.632658941692,-81.620883440516,0
26.676825714947,-81.881506281176,1
26.483378459574,-81.833743807925,2
26.70315222819,-81.872176308847,2
26.355052792824,-81.790899528085,1
26.614448685324,-81.654126219963,1
26.676446103273,-81.677066521833,0
26.317574978788,-81.808828843798,0
26.572307249802,-81.680798797354,0
26.480046647926,-81.950679119983,0
26.652820211268,-81.919894442071,0
26.508576582761,-81.942209800723,0
26.596048575205,-81.619176156809,0
26.717018103355,-81.856342074493,0
26.6633061,-81.8774363,1
26.34050005267,-81.777810659442,1
26.703711366893,-81.755680103958,0
26.554237607712,-81.633730555786,0
26.60831094217,-81.85119935188,0
26.357233085235,-81.784790416115,1
26.664181432191,-81.909650468406,0
26.572453435422,-81.87334897423,2
26.700681055951,-81.875029670265,2
26.694866333006,-81.730611671008,0
26.52965651142,-81.856931113559,0
26.624294492655,-81.680407383831,1
26.573036966785,-81.641314588758,0
26.351494199546,-81.784487988814,1
26.546183432926,-81.853768797746,0
26.586183298949,-81.64308543444,1
26.611667093257,-81.867319966258,0
26.348682478659,-81.748853770956,0
26.685718418479,-81.892519108951,2
26.671478571039,-81.822640815724,1
26.669393620393,-81.891591478828,1
26.60594240757,-81.649016858106,2
26.571562655143,-82.108508244181,-1
