Density scenario: 2levels (street + neighborhood)
Levels (loosest -> tightest): ['neighborhood', 'street']
n_total=250 n_noise=151 counts_by_level={-1: 151, 0: 70, 1: 29}
------------------------------------------------------------
lat,lng,density_level
26.573057225901,-81.880824795012,0
26.706736754894,-81.712803236382,-1
26.608215636147,-81.651556997264,1
26.503581836056,-81.914162671868,-1
26.619750254007,-81.697744786699,-1
26.675444213352,-81.753972961147,0
26.677588057344,-81.869882703936,0
26.699826092847,-81.863943601824,0
26.352399938179,-81.750962513394,-1
26.5881357,-81.8177267,-1
26.610243441188,-81.628294161724,-1
26.625597192529,-81.626433248346,-1
26.573952282349,-81.882406884302,0
26.573626187963,-81.874347177839,1
26.528535726579,-81.903049537431,-1
26.723011408604,-81.713477610038,-1
26.352071409925,-81.765471769395,-1
26.570849421502,-81.829172653396,-1
26.708599701977,-81.727329402813,0
26.588096979102,-81.605935881577,0
26.698140935577,-81.771806956731,-1
26.553782344764,-81.651172296896,-1
26.611541041119,-81.660466616715,0
26.588840501709,-81.616805373654,0
26.60131808044,-81.642363838539,0
26.542169386204,-81.871228324558,-1
26.6646781,-81.6465196,-1
26.601000465322,-81.646757230079,1
26.720464886172,-81.869971606257,-1
26.591097972569,-81.649261233033,0
26.488396659021,-81.785282820536,-1
26.67092434016,-81.75377643735,0
26.509137078578,-81.953236009913,-1
26.678493225449,-81.88398124209,0
26.597820380183,-81.719385894119,-1
26.558970925597,-81.8693412601,-1
26.51100174529,-81.913874016602,-1
26.718582872408,-81.709097511268,-1
26.519279745527,-81.82516495021,-1
26.60827488994,-81.635941967588,-1
26.709590237076,-81.729500554283,0
26.660837970904,-81.665917504084,0
26.70315222819,-81.872176308847,1
26.4536495,-81.9560423,-1
26.621173712934,-81.691267704423,-1
26.541956208653,-81.872217136903,-1
26.555476526914,-81.632406571859,-1
26.348558349074,-81.779084830871,0
26.350385724265,-81.763445866093,-1
26.71192423238,-81.904680733546,-1
26.610931827943,-81.753415157003,-1
26.590459840465,-81.672925753762,-1
26.499644189266,-82.085869099979,-1
26.641552726178,-81.870155011874,-1
26.670363752973,-81.830517256405,0
